Name Tag,Affiliation,title,abstract,talk_time,slides,raw_html
???,???,Invited talk,,2024-06-03 09:00-10:00,,
???,???,Talk,,2024-06-03 10:00-10:30,,
???,???,Talk,,2024-06-03 11:00-11:30,,
???,???,Talk,,2024-06-03 11:30-12:00,,
???,???,Talk,,2024-06-03 12:00-12:30,,
???,???,Talk,,2024-06-03 14:30-15:00,,
???,???,Talk,,2024-06-03 15:00-15:30,,
???,???,Talk,,2024-06-03 15:30-16:00,,
???,???,Invited talk,,2024-06-04 09:00-10:00,,
???,???,Talk,,2024-06-04 10:00-10:30,,
???,???,Talk,,2024-06-04 11:00-11:30,,
???,???,Talk,,2024-06-04 11:30-12:00,,
???,???,Talk,,2024-06-04 12:00-12:30,,
???,???,Invited talk,,2024-06-04 13:30-14:30,,
???,???,Invited talk,,2024-06-05 09:00-10:00,,
???,???,Talk,,2024-06-05 10:00-10:30,,
???,???,Talk,,2024-06-05 11:00-11:30,,
???,???,Talk,,2024-06-05 11:30-12:00,,
???,???,Talk,,2024-06-05 12:00-12:30,,
???,???,Talk,,2024-06-05 14:30-15:00,,
???,???,Talk,,2024-06-05 15:00-15:30,,
Ralf Jung (ETH Zurich) and Robbert Krebbers,Radboud University,The State of Iris,"What’s new in Iris and what will happen in the near future? Also, ask us anything!",2024-06-05 15:30-16:00,,
,,,,2024-06-03 08:30-09:00,,<strong>Coffee</strong>
,,,,2024-06-04 08:30-09:00,,<strong>Coffee</strong>
,,,,2024-06-05 08:30-09:00,,<strong>Coffee</strong>
,,,,2024-06-03 10:30-11:00,,<strong>Coffee</strong>
,,,,2024-06-04 10:30-11:00,,<strong>Coffee</strong>
,,,,2024-06-05 10:30-11:00,,<strong>Coffee</strong>
,,,,2024-06-03 12:30-13:30,,<strong>Lunch</strong>
,,,,2024-06-04 12:30-13:30,,<strong>Lunch</strong>
,,,,2024-06-05 12:30-13:30,,<strong>Lunch</strong>
,,,,2024-06-03 13:30-14:30,,<strong>Breakout Session</strong>
,,,,2024-06-05 13:30-14:30,,<strong>Breakout Session</strong>
,,,,2024-06-04 14:30-17:30,,<strong>Excursion</strong>
,,,,2024-06-04 17:30-18:30,,<strong>Apero</strong>
,,,,2024-06-04 18:30-21:30,,<strong>Banquet</strong>
